,Provider Name,Procedures,Provider State,Region,Count Of Services,Charges,Payment,Cluster_22
0,ABBEVILLE GENERAL HOSPITAL,25,1,1,1294,314058.88999999996,121115.8,7
1,ABBOTT NORTHWESTERN HOSPITAL,121,1,1,20810,4495571.8500000015,1065438.89,16
2,ABILENE REGIONAL MEDICAL CENTER,71,1,1,7285,3613719.3799999985,516580.3300000001,1
3,ABINGTON MEMORIAL HOSPITAL,121,1,1,19300,6832266.249999998,1027582.3599999999,10
4,ACMH HOSPITAL,54,1,1,4151,406719.05000000016,199332.5000000001,0
5,ADCARE HOSPITAL OF WORCESTER INC,1,1,1,1571,4227.47,4967.57,20
6,ADENA REGIONAL MEDICAL CENTER,111,1,1,19639,2167884.3200000003,850296.93,4
7,ADIRONDACK MEDICAL CENTER,32,1,1,1561,355059.7599999999,196213.60000000006,7
8,ADVANCED SURGICAL HOSPITAL,1,1,1,71,36100.86,21777.55,20
9,ADVENTIST BOLINGBROOK HOSPITAL,56,1,1,2652,1540952.8299999994,387791.93999999994,14
10,ADVENTIST GLENOAKS,35,1,1,1671,1048793.6700000002,283428.13,0
11,ADVENTIST LA GRANGE MEMORIAL HOSPITAL,97,1,1,9097,3203196.5600000005,734911.5699999998,18
12,ADVENTIST MEDICAL CENTER,96,2,2,8754,3839390.7400000026,1151831.9700000002,5
13,ADVENTIST MEDICAL CENTER - REEDLEY,9,1,1,319,110314.35,26821.929999999997,20
14,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,124,1,1,23773,3823133.4499999997,1240380.2,16
15,ADVOCATE CONDELL MEDICAL CENTER,115,1,1,11903,4826314.070000002,962749.4699999996,16
16,ADVOCATE GOOD SAMARITAN HOSPITAL,113,1,1,13257,3987680.420000001,948000.8500000003,16
17,ADVOCATE GOOD SHEPHERD HOSPITAL,104,1,1,16797,2928291.349999999,856029.4500000002,18
18,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,95,1,1,10206,3421700.650000001,1070881.2599999993,18
19,ADVOCATE LUTHERAN GENERAL HOSPITAL,121,1,1,27605,3673485.88,1215227.4899999998,4
20,ADVOCATE SOUTH SUBURBAN HOSPITAL,105,1,1,9508,2691721.5400000014,802849.9500000001,18
21,ADVOCATE TRINITY HOSPITAL,75,1,1,4533,2070906.9900000002,683196.3599999999,1
22,AFFINITY MEDICAL CENTER,53,1,1,4371,898879.5099999998,235822.8,0
23,AHMC ANAHEIM REGIONAL MEDICAL CENTER,77,1,1,3471,5204163.879999999,784721.2400000001,18
24,AIKEN REGIONAL MEDICAL CENTER,93,1,1,7263,2862427.6599999997,802470.4000000001,18
25,AKRON GENERAL MEDICAL CENTER,113,1,1,23319,3110674.070000001,919214.1,4
26,ALAMANCE REGIONAL MEDICAL CENTER,90,1,1,8969,1259347.7299999997,640360.69,1
27,ALAMEDA COUNTY MEDICAL CENTER,37,1,1,5587,666313.62,302661.5800000001,0
28,ALAMEDA HOSPITAL,38,1,1,1142,1208866.3,302710.72,0
29,ALASKA NATIVE MEDICAL CENTER,33,1,1,752,835810.4899999999,542582.6599999999,0
