,Region,Procedures,Provider State,Provider Name,Count Of Services,Charges,Payment,Cluster_20
0,AK - Anchorage,100,1,9,31406,9427445.520000007,3390445.9499999997,2
1,AL - Birmingham,127,2,40,166237,68364063.10999992,14648212.199999992,3
2,AL - Dothan,122,3,10,43700,9561883.16,2419670.0800000015,13
3,AL - Huntsville,125,2,8,71691,11754072.470000006,3090569.679999992,6
4,AL - Mobile,125,2,14,70394,16193817.950000003,4256181.670000002,6
5,AL - Montgomery,119,1,12,26109,9319737.690000003,2804767.2999999984,4
6,AL - Tuscaloosa,121,1,7,33764,4588872.410000002,1447332.8600000006,4
7,AR - Fort Smith,118,2,8,69493,5995093.1899999995,1918826.6100000017,14
8,AR - Jonesboro,118,2,5,31636,5271890.699999995,2056521.6300000001,14
9,AR - Little Rock,130,1,25,240441,32596453.649999972,9623706.390000015,12
10,AR - Springdale,116,1,6,40575,8935228.709999993,2315556.1299999985,4
11,AR - Texarkana,111,3,5,22277,6302477.440000002,1690774.0499999996,13
12,AZ - Mesa,122,1,11,56144,23080305.8,4834639.350000004,19
13,AZ - Phoenix,128,2,35,170938,60301660.01000007,16254194.77000002,3
14,AZ - Sun City,118,1,2,18704,8406122.859999996,1648221.9500000011,4
15,AZ - Tucson,127,1,10,101071,20816101.40999999,5604352.139999998,19
16,CA - Alameda County,121,1,11,45697,40981827.27,7249978.000000013,19
17,CA - Bakersfield,120,1,11,41855,25106612.40999998,5395300.199999998,19
18,CA - Chico,120,1,4,56714,13998395.740000004,2343793.0700000008,4
19,CA - Contra Costa County,119,1,9,41819,35813573.559999995,5028276.440000001,19
20,CA - Fresno,126,1,9,42883,15207663.38,4233977.590000005,1
21,CA - Los Angeles,130,1,80,505020,251071326.01999974,47115949.38999992,7
22,CA - Modesto,118,1,8,46598,30998665.809999995,4624880.309999998,19
23,CA - Napa,96,1,3,14739,10171266.8,1876214.9200000018,2
24,CA - Orange County,127,1,25,177622,60036456.270000026,11259767.62999998,12
25,CA - Palm Springs/Rancho M,122,1,3,99768,15266154.530000003,1995806.719999999,1
26,CA - Redding,114,1,5,28867,14120210.07,2873385.5500000003,4
27,CA - Sacramento,128,1,20,209129,60445348.25999992,11358022.550000014,12
28,CA - Salinas,115,1,4,23186,12046258.149999999,2853046.24,4
29,CA - San Bernardino,126,1,22,91971,42902765.40999997,9906832.89999999,12
30,CA - San Diego,129,1,21,160223,67397494.00999999,14120130.639999995,12
31,CA - San Francisco,127,1,16,235356,42679424.93000004,8549964.789999979,12
32,CA - San Jose,122,1,9,79620,38681637.71000006,6549608.110000001,19
33,CA - San Luis Obispo,85,1,4,8538,10559372.450000003,1338721.4499999986,18
34,CA - San Mateo County,122,1,6,109780,29945982.89,4759570.540000007,19
35,CA - Santa Barbara,105,1,4,16642,8330609.309999997,1929172.1800000004,2
36,CA - Santa Cruz,95,1,3,14530,9392433.919999998,1481822.56,2
37,CA - Santa Rosa,103,1,7,13812,11757015.399999997,2290567.6099999994,2
38,CA - Stockton,108,1,6,33973,15007137.04,2274176.6100000013,2
39,CA - Ventura,119,1,7,33620,25139053.14000002,4139645.8899999983,1
40,CO - Boulder,84,1,4,19467,6110526.029999999,1272360.9900000005,18
41,CO - Colorado Springs,121,1,6,47152,7859930.630000003,2075591.2599999993,4
42,CO - Denver,128,2,21,238556,45316212.889999904,9520086.640000006,0
43,CO - Fort Collins,114,2,3,17916,5055679.21,1776939.6199999996,14
44,CO - Grand Junction,94,1,5,23462,3984530.9200000004,1371884.3399999987,2
45,CO - Greeley,116,1,5,37181,7604256.139999997,2118843.700000002,4
46,CO - Pueblo,106,1,2,29663,5811016.540000002,1213202.1100000003,2
47,CT - Bridgeport,125,1,5,62274,17010518.930000003,5040841.780000008,1
48,CT - Hartford,126,1,15,199762,21972138.290000025,9257282.439999977,12
49,CT - New Haven,127,2,12,152757,26785985.539999984,9230105.870000008,0
50,DC - Washington,128,2,18,180509,29080490.76000003,15823883.390000025,0
51,DE - Wilmington,124,3,5,62075,9296668.120000008,3573615.8499999996,13
52,FL - Bradenton,116,1,3,13627,9636432.47,1783458.59,4
53,FL - Clearwater,124,1,5,37745,15147943.860000009,2971700.4499999974,1
54,FL - Fort Lauderdale,127,1,24,282575,80012897.28999999,14185434.519999996,11
55,FL - Fort Myers,129,1,9,119886,32944785.00999995,6252950.980000011,19
56,FL - Gainesville,126,1,6,65339,14524870.000000006,3447315.0000000005,1
